level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.4758869158782882,0.011649574026037869,33394.29302694719,1.748613417347756,0.009568804456232764,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.76116947412886,0.007497346805331504,21491.652448603796,0.15699034635484282,0.0010708731834872794,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.7609737137146394,0.007497346805331504,21491.652448603796,0.2714224358667063,0.0018514451029331435,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.7616824103316572,0.007497346805331504,21491.652448603796,0.6330338929285408,0.004318093665730807,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.49250413327009696,0.003131457184811548,8976.534128819294,0.7099652978465313,0.007493466641293156,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,1.1857522433802097,0.07267386521861151,208324.5571972727,0.7895352815079536,0.0017298215696548017,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.6900301671453998,0.024528025892692828,70311.24762179097,1.2752889151021092,0.004809458511419811,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.703425989844015,0.006384925782390894,18302.82223675343,0.09894665343009147,0.0007313783144304474,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.7030402554747571,0.006384925782390894,18302.82223675343,0.14131895904836922,0.00104457926046874,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.7020191780613183,0.006384925782390894,18302.82223675343,0.6135822697956144,0.004535380942060726,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.40106399064953635,0.002076649934404927,5952.857698393853,0.8599174679086283,0.011145357937614758,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.8079819511121753,0.033779421609014634,96831.0000838621,1.0519116171954983,0.0033804307435569654,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.32087653957226636,0.005299352697667988,15190.953458343332,0.90904362115438,0.0073755125629789715,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.7443149862090082,0.0071682200659792614,20548.188356923845,0.15538021968998675,0.0010839492822141527,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.7453216758106876,0.0071682200659792614,20548.188356923845,0.202434032700983,0.0014122017904193208,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.7440259846682342,0.0071682200659792614,20548.188356923845,0.8593338366198869,0.005994806142280716,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.attn.out_proj,attention_out,0.37809499419790277,0.0018483197862950715,5298.333862945087,0.9766051375753667,0.013416812302354223,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.mlp.fc1,mlp_fc1,0.8545211636469527,0.03773508221791725,108170.16915507363,1.1848521326488024,0.0036025531772938095,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.2.mlp.fc2,mlp_fc2,0.2912540763107003,0.0043638431660458455,12509.252019418127,1.1583131419070942,0.01035643568932372,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.attn.q_proj,attention_qkv,0.8427995827367182,0.009194056495367852,26355.385701346837,0.18092303015499078,0.001114446346143548,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.attn.k_proj,attention_qkv,0.8439005490862942,0.009194056495367852,26355.385701346837,0.23601514202230656,0.001453801721295428,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.attn.v_proj,attention_qkv,0.8429493596466849,0.009194056495367852,26355.385701346837,0.8799161580175502,0.005420091330414173,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.attn.out_proj,attention_out,0.31321411601851196,0.0012604139610820058,3613.0619933013054,0.9312016593552154,0.015491948141797203,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.mlp.fc1,mlp_fc1,0.8316213824969899,0.03578444564832209,102578.53730239387,1.2022636970868943,0.003753803047543453,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.3.mlp.fc2,mlp_fc2,0.256864003349308,0.0033983696894341097,9741.656902579123,1.2725796542598307,0.01289343278684831,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.attn.q_proj,attention_qkv,0.8210037289843,0.0087163593851936,24986.03457832483,0.2286815072875688,0.0014467129791612841,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.attn.k_proj,attention_qkv,0.8217281508270998,0.0087163593851936,24986.03457832483,0.3404487946625273,0.0021537888910218295,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.attn.v_proj,attention_qkv,0.8204795080455856,0.0087163593851936,24986.03457832483,0.7336714559272057,0.004641442285034928,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.attn.out_proj,attention_out,0.30776787657966354,0.0012242439754501441,3509.3782795216316,0.7391606163471142,0.012477389344787307,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.mlp.fc1,mlp_fc1,0.8148527720026886,0.034320726144711614,98382.68620057986,1.0262515078188006,0.003271858175353479,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.4.mlp.fc2,mlp_fc2,0.2557853783493799,0.003367403137896083,9652.889185082871,0.9925575631483253,0.010102457747120779,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.attn.q_proj,attention_qkv,0.8339981715187584,0.009004014037733262,25810.61612405378,0.15651600095007875,0.0009742256440869812,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.attn.k_proj,attention_qkv,0.8338905454605058,0.009004014037733262,25810.61612405378,0.23546711323119426,0.0014656527042377577,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.attn.v_proj,attention_qkv,0.8345892041389608,0.009004014037733262,25810.61612405378,0.7336642301010977,0.00456665454506338,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.attn.out_proj,attention_out,0.32805842217221054,0.0014004242190585542,4014.4108813548205,0.7079008889763907,0.011172787714048569,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.mlp.fc1,mlp_fc1,0.7926345949465577,0.03246719118971431,93069.4027033015,1.0571085352636815,0.0034651027408635496,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.5.mlp.fc2,mlp_fc2,0.2432544486947511,0.0030590309156928925,8768.919322613408,0.9236101444764242,0.009863150435100316,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.attn.q_proj,attention_qkv,0.7344799866540915,0.007009442432060731,20093.041514528544,0.1728205736010652,0.0012191933957617666,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.attn.k_proj,attention_qkv,0.7362769896872696,0.007009442432060731,20093.041514528544,0.2631622824990982,0.0018565250082847487,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.attn.v_proj,attention_qkv,0.7368218642253203,0.007009442432060731,20093.041514528544,0.7743748877677293,0.005462965023999641,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.attn.out_proj,attention_out,0.27776971525188526,0.0010017770874202938,2871.6618762388175,0.8114964484923997,0.01514328068471658,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.mlp.fc1,mlp_fc1,0.8276430141279842,0.03542993805736685,101562.31728042883,1.0427731232692068,0.003272077099558231,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.6.mlp.fc2,mlp_fc2,0.2362600521040783,0.002871428307406511,8231.143738739584,0.9500607434151663,0.01047179858790855,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.attn.q_proj,attention_qkv,0.7535071350177336,0.007339920072436063,21040.378055494184,0.16976983917240973,0.001170398530234106,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.attn.k_proj,attention_qkv,0.7540004243820722,0.007339920072436063,21040.378055494184,0.22148976612413188,0.001526957308773304,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.attn.v_proj,attention_qkv,0.7547726230649296,0.007339920072436063,21040.378055494184,0.812167279269255,0.005599106381879925,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.attn.out_proj,attention_out,0.2731067105386797,0.000967464967050637,2773.3038590753545,0.8192164701412027,0.015556072090805248,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.mlp.fc1,mlp_fc1,0.9484160215728311,0.04641223846117803,133043.8252716323,1.0519927905982303,0.0028841337851851904,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.7.mlp.fc2,mlp_fc2,0.4793940406137244,0.011813096213750521,33863.04045416443,1.2649143250853165,0.006873819697167151,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.attn.q_proj,attention_qkv,0.820350738191753,0.00867867848103315,24878.019714241236,0.1714097016698906,0.0010867446109070512,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.attn.k_proj,attention_qkv,0.8213194537193075,0.00867867848103315,24878.019714241236,0.2623340717212819,0.0016632088844623738,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.attn.v_proj,attention_qkv,0.8191290786429809,0.00867867848103315,24878.019714241236,0.8608623417933684,0.005457902916594954,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.attn.out_proj,attention_out,0.16979803383569364,0.0003747023883425709,1074.1097765670474,0.8498789288891337,0.02593180380165697,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.mlp.fc1,mlp_fc1,1.073682066799679,0.05960053500286463,170848.9706147134,1.0229592918982493,0.0024748687296095567,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.8.mlp.fc2,mlp_fc2,0.2832303018903024,0.0041299977631503405,11838.918332551768,1.0008572652114203,0.009198481382802659,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.attn.q_proj,attention_qkv,0.8789805118180642,0.009982468977856932,28615.423485346226,0.16492131542885582,0.0009749373337706503,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.attn.k_proj,attention_qkv,0.8802072267212399,0.009982468977856932,28615.423485346226,0.2721541778966953,0.0016088476367241158,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.attn.v_proj,attention_qkv,0.8772050501464597,0.009982468977856932,28615.423485346226,0.8711667036369833,0.0051499282618807036,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.attn.out_proj,attention_out,0.15155373115421183,0.0002960005278052711,848.5055624838284,0.8391415219399961,0.02880765214678075,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.mlp.fc1,mlp_fc1,1.1330894751217402,0.06648048107671478,190570.80204702506,0.9379121550879905,0.0021484931993675724,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.9.mlp.fc2,mlp_fc2,0.2979354248292361,0.004571453886955116,13104.3822133706,0.89445742462453,0.007813604009513102,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.attn.q_proj,attention_qkv,0.930729951470801,0.011230644871640577,32193.40422979399,0.15624684442655912,0.000870818814604521,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.attn.k_proj,attention_qkv,0.9322681330674507,0.011230644871640577,32193.40422979399,0.27405615961442636,0.001527411711426126,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.attn.v_proj,attention_qkv,0.9325790546936616,0.011230644871640577,32193.40422979399,0.8309151704980406,0.004630983534199445,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.attn.out_proj,attention_out,0.1825464762084214,0.0004319292398841658,1238.1544227591078,0.8015674192858284,0.022779943877309743,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.mlp.fc1,mlp_fc1,1.1207480890467862,0.06494877602929404,186180.06577889292,0.8088241576427673,0.0018745089762092705,vit,dp_kfm_a,pink,0.75,42,1,True
layer,blocks.10.mlp.fc2,mlp_fc2,0.28163614973701634,0.004088043875345895,11718.654671423124,0.7771786053114544,0.007179297632554156,vit,dp_kfm_a,pink,0.75,42,1,True
