level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only
layer,patch_embed,patch_head,0.7202415904117566,0.026717111089316622,76586.4086151123,1.1191911503225676,0.0040441607992482585,vit,dp_kfc,public,,42,1,True
layer,blocks.0.attn.q_proj,attention_qkv,0.7200073307547741,0.006705334772741336,19221.296310424805,0.3633600230035211,0.002620871978397372,vit,dp_kfc,public,,42,1,True
layer,blocks.0.attn.k_proj,attention_qkv,0.7203763311241387,0.006705334772741336,19221.296310424805,0.6440954919482832,0.00464578302342018,vit,dp_kfc,public,,42,1,True
layer,blocks.0.attn.v_proj,attention_qkv,0.720180766482579,0.006705334772741336,19221.296310424805,2.027637644910056,0.014625105541224898,vit,dp_kfc,public,,42,1,True
layer,blocks.0.attn.out_proj,attention_out,0.7203525341757284,0.006705334772741336,19221.296310424805,2.077228899442721,0.01498280127314358,vit,dp_kfc,public,,42,1,True
layer,blocks.0.mlp.fc1,mlp_fc1,0.7201226045772826,0.026821339090965342,76885.18524169922,1.5853848235410808,0.005717594666371725,vit,dp_kfc,public,,42,1,True
layer,blocks.0.mlp.fc2,mlp_fc2,0.7201888050618914,0.026717111089316622,76586.4086151123,3.9860634712790124,0.01440351063284938,vit,dp_kfc,public,,42,1,True
layer,blocks.1.attn.q_proj,attention_qkv,0.72028426005471,0.006705334772741336,19221.296310424805,0.26136041776682284,0.0018851611399767537,vit,dp_kfc,public,,42,1,True
layer,blocks.1.attn.k_proj,attention_qkv,0.720420528705516,0.006705334772741336,19221.296310424805,0.38987144284511416,0.0028120956490588107,vit,dp_kfc,public,,42,1,True
layer,blocks.1.attn.v_proj,attention_qkv,0.7200634117494575,0.006705334772741336,19221.296310424805,1.2353924679142665,0.008910736725289949,vit,dp_kfc,public,,42,1,True
layer,blocks.1.attn.out_proj,attention_out,0.7201824455297932,0.006705334772741336,19221.296310424805,2.510484607628713,0.018107822390434663,vit,dp_kfc,public,,42,1,True
layer,blocks.1.mlp.fc1,mlp_fc1,0.7201759695999853,0.026821339090965342,76885.18524169922,2.036429308989503,0.007344259376417402,vit,dp_kfc,public,,42,1,True
layer,blocks.1.mlp.fc2,mlp_fc2,0.7201545395226967,0.026717111089316622,76586.4086151123,4.198688287583569,0.015171823487001608,vit,dp_kfc,public,,42,1,True
layer,blocks.2.attn.q_proj,attention_qkv,0.7202536901601375,0.006705334772741336,19221.296310424805,0.33249212319816945,0.002398225543704032,vit,dp_kfc,public,,42,1,True
layer,blocks.2.attn.k_proj,attention_qkv,0.720193086273032,0.006705334772741336,19221.296310424805,0.44139535768186294,0.0031837314264257085,vit,dp_kfc,public,,42,1,True
layer,blocks.2.attn.v_proj,attention_qkv,0.7199943493938377,0.006705334772741336,19221.296310424805,1.8274784479848645,0.013181381418511834,vit,dp_kfc,public,,42,1,True
layer,blocks.2.attn.out_proj,attention_out,0.7204441728978669,0.006705334772741336,19221.296310424805,3.4687002461255974,0.02501931610798732,vit,dp_kfc,public,,42,1,True
layer,blocks.2.mlp.fc1,mlp_fc1,0.7202947366302236,0.026821339090965342,76885.18524169922,1.9890541990778954,0.007173403902259173,vit,dp_kfc,public,,42,1,True
layer,blocks.2.mlp.fc2,mlp_fc2,0.720249784502908,0.026717111089316622,76586.4086151123,4.77932944402184,0.01726995140967241,vit,dp_kfc,public,,42,1,True
layer,blocks.3.attn.q_proj,attention_qkv,0.7201044934688735,0.006705334772741336,19221.296310424805,0.3905845404428349,0.002817239135940722,vit,dp_kfc,public,,42,1,True
layer,blocks.3.attn.k_proj,attention_qkv,0.7202668697584306,0.006705334772741336,19221.296310424805,0.4786659596961042,0.0034525597791698935,vit,dp_kfc,public,,42,1,True
layer,blocks.3.attn.v_proj,attention_qkv,0.7200252847258136,0.006705334772741336,19221.296310424805,1.4272163229487616,0.010294339033249928,vit,dp_kfc,public,,42,1,True
layer,blocks.3.attn.out_proj,attention_out,0.7205145933956265,0.006705334772741336,19221.296310424805,3.67154280109619,0.02648239496832689,vit,dp_kfc,public,,42,1,True
layer,blocks.3.mlp.fc1,mlp_fc1,0.7202081008388586,0.026821339090965342,76885.18524169922,1.9293051582035636,0.006957922593020406,vit,dp_kfc,public,,42,1,True
layer,blocks.3.mlp.fc2,mlp_fc2,0.720339995926535,0.026717111089316622,76586.4086151123,5.034360762431878,0.0181914987791251,vit,dp_kfc,public,,42,1,True
layer,blocks.4.attn.q_proj,attention_qkv,0.7203618233643191,0.006705334772741336,19221.296310424805,0.4481244120459667,0.003232267283172456,vit,dp_kfc,public,,42,1,True
layer,blocks.4.attn.k_proj,attention_qkv,0.7205516400208268,0.006705334772741336,19221.296310424805,0.6588488592759993,0.004752197280818664,vit,dp_kfc,public,,42,1,True
layer,blocks.4.attn.v_proj,attention_qkv,0.7203106872245119,0.006705334772741336,19221.296310424805,1.3316545567065738,0.009605063550272878,vit,dp_kfc,public,,42,1,True
layer,blocks.4.attn.out_proj,attention_out,0.7202732752841238,0.006705334772741336,19221.296310424805,3.7499469371956375,0.027047914536481248,vit,dp_kfc,public,,42,1,True
layer,blocks.4.mlp.fc1,mlp_fc1,0.7202355538102008,0.026821339090965342,76885.18524169922,1.9339985491301734,0.006974849024086674,vit,dp_kfc,public,,42,1,True
layer,blocks.4.mlp.fc2,mlp_fc2,0.7200894507743697,0.026717111089316622,76586.4086151123,5.383997212736211,0.019454898713891874,vit,dp_kfc,public,,42,1,True
layer,blocks.5.attn.q_proj,attention_qkv,0.7202100740280564,0.006705334772741336,19221.296310424805,0.3454975515438961,0.0024920321282496296,vit,dp_kfc,public,,42,1,True
layer,blocks.5.attn.k_proj,attention_qkv,0.7200837061001428,0.006705334772741336,19221.296310424805,0.46497531370179124,0.0033538108024496215,vit,dp_kfc,public,,42,1,True
layer,blocks.5.attn.v_proj,attention_qkv,0.7202391340180185,0.006705334772741336,19221.296310424805,1.4966987332290282,0.010795507270167669,vit,dp_kfc,public,,42,1,True
layer,blocks.5.attn.out_proj,attention_out,0.7200408575944367,0.006705334772741336,19221.296310424805,3.178709595122723,0.022927648552133834,vit,dp_kfc,public,,42,1,True
layer,blocks.5.mlp.fc1,mlp_fc1,0.7200747078085267,0.026821339090965342,76885.18524169922,2.1341149879368424,0.007696556880869802,vit,dp_kfc,public,,42,1,True
layer,blocks.5.mlp.fc2,mlp_fc2,0.7202025780100089,0.026717111089316622,76586.4086151123,6.084895457162615,0.021987571710416393,vit,dp_kfc,public,,42,1,True
layer,blocks.6.attn.q_proj,attention_qkv,0.7201207590661104,0.006705334772741336,19221.296310424805,0.4049089996540909,0.0029205597308761574,vit,dp_kfc,public,,42,1,True
layer,blocks.6.attn.k_proj,attention_qkv,0.7199357845119417,0.006705334772741336,19221.296310424805,0.551468227936097,0.003977673750753162,vit,dp_kfc,public,,42,1,True
layer,blocks.6.attn.v_proj,attention_qkv,0.7203104184199736,0.006705334772741336,19221.296310424805,1.6536347226073955,0.01192746761507287,vit,dp_kfc,public,,42,1,True
layer,blocks.6.attn.out_proj,attention_out,0.7200315314799319,0.006705334772741336,19221.296310424805,3.952871125622815,0.028511582209087782,vit,dp_kfc,public,,42,1,True
layer,blocks.6.mlp.fc1,mlp_fc1,0.7202189077507236,0.026821339090965342,76885.18524169922,2.066148139163155,0.0074514385434994715,vit,dp_kfc,public,,42,1,True
layer,blocks.6.mlp.fc2,mlp_fc2,0.7202716473147793,0.026717111089316622,76586.4086151123,5.47007699630708,0.019765945210484293,vit,dp_kfc,public,,42,1,True
layer,blocks.7.attn.q_proj,attention_qkv,0.7205731935895116,0.006705334772741336,19221.296310424805,0.41885257599191966,0.0030211330636285764,vit,dp_kfc,public,,42,1,True
